John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Jeff Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Andre Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Tom Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Action Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Dark Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Apple Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Mac Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;48
Android Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;14
Arch Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;2
Bubuntu Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;1
Win Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;7
Debian Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Intel Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Amd Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Nox Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Mab Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;8
Tae Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;4
Eliot Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;5
Tyler Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;48
Max Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;14
Danie Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2240;2021-10-19;2
File Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS-2241;2021-10-20;1
End Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS-1111;2021-10-20;7
